wasm@Ubuntu-WASM:/media/sf_vm_shared$ wasmer run wasix-based-evm.wasi.wasm --enable-threads --net --volume ./startup:./startup -- --data-dir ./startup --ext-ip 192.168.1.152 --verbose 1 --genesis-path ./startup/genesis.json --peer-name node1
Apr 20 14:57:10.219 INFO  [App] P2P Identity generated. PeerId: 0281af2cb33b6a3e0c0ab4e95ee496a4966e0559cbf7d6f056ce7ee874d8ab283c
Apr 20 14:57:10.220 INFO  [App] Loading genesis from "./startup/genesis.json"
Apr 20 14:57:26.128 INFO  [App] Initializing new storage with genesis block. ChainId: 31133
Apr 20 14:57:26.130 INFO  [Sync] Starting synchronization controller...
Apr 20 14:57:26.130 INFO  [Gossip] Starting GossipHandler
Apr 20 14:57:26.130 INFO  [App] Generating new JWT secret for this node...
Apr 20 14:57:26.134 INFO  [App] New JWT secret saved to "./startup/jwt_node1.hex"
Apr 20 14:57:26.135 INFO  [EngineService] Initializing engine service
Apr 20 14:57:26.136 INFO  [App] Enabling JWT authentication for Auth Engine JSON-RPC
Apr 20 14:57:26.137 INFO  [App] Eth JSON-RPC Server listening on 192.168.1.152:8545
Apr 20 14:57:26.137 INFO  [App] Auth Engine JSON-RPC Server listening on 192.168.1.152:8551
Apr 20 14:57:26.136 INFO  [P2P] Discovery RPC Server started on 192.168.1.152:9001
Apr 20 14:57:26.138 INFO  [P2P] P2P RPC Server started on 192.168.1.152:9002
Apr 20 14:57:38.143 INFO  [RPC] eth_syncing
Apr 20 14:57:38.144 INFO  [RPC] eth_syncing result: None
Apr 20 14:57:38.146 INFO  [RPC] engine_exchangeCapabilities: capabilities=["engine_newPayloadV1", "engine_newPayloadV2", "engine_newPayloadV3", "engine_newPayloadV4", "engine_getPayloadV1", "engine_getPayloadV2", "engine_getPayloadV3", "engine_getPayloadV4", "engine_getPayloadV5", "engine_forkchoiceUpdatedV1", "engine_forkchoiceUpdatedV2", "engine_forkchoiceUpdatedV3", "engine_getPayloadBodiesByHashV1", "engine_getPayloadBodiesByRangeV1", "engine_getClientVersionV1", "engine_getBlobsV1", "engine_getBlobsV2"]
Apr 20 14:57:38.148 INFO  [RPC] engine_exchangeCapabilities result: ["engine_exchangeCapabilities", "engine_forkchoiceUpdatedV1", "engine_forkchoiceUpdatedV2", "engine_newPayloadV1", "engine_newPayloadV2", "engine_getPayloadV1", "engine_getPayloadV2", "engine_exchangeTransitionConfigurationV1", "engine_getPayloadBodiesByHashV1", "engine_getPayloadBodiesByHashV2", "engine_getPayloadBodiesByRangeV1", "engine_getPayloadBodiesByRangeV2"]
Apr 20 14:57:38.149 INFO  [RPC] eth_syncing
Apr 20 14:57:38.149 INFO  [RPC] eth_syncing result: None
Apr 20 14:57:49.014 INFO  [RPC] eth_getBlockByNumber: num=latest, full=false
Apr 20 14:57:49.015 INFO  [RPC] eth_getBlockByNumber result: found
Apr 20 14:57:50.155 INFO  [RPC] eth_syncing
Apr 20 14:57:50.159 INFO  [RPC] eth_syncing result: None
Apr 20 14:58:01.004 INFO  [RPC] eth_getBlockByNumber: num=latest, full=false
Apr 20 14:58:01.006 INFO  [RPC] eth_getBlockByNumber result: found
Apr 20 14:58:02.157 INFO  [RPC] eth_syncing
Apr 20 14:58:02.157 INFO  [RPC] eth_syncing result: None
Apr 20 14:58:07.017 INFO  [RPC] engine_forkchoiceUpdatedV2: head=0x1c8ab1ec4ffbdb3d6021d9d4eb4e521f9c8f71621a56b440723af74ec94011c1, attributes=Some(PayloadAttributes { timestamp: 1776697087, prev_randao: 0x1c8ab1ec4ffbdb3d6021d9d4eb4e521f9c8f71621a56b440723af74ec94011c1, suggested_fee_recipient: 0x0000000000000000000000000000000000000000, withdrawals: Some([]), parent_beacon_block_root: None })
Apr 20 14:58:07.018 INFO  [EngineService] forkchoiceUpdated: head=0x1c8ab1ec4ffbdb3d6021d9d4eb4e521f9c8f71621a56b440723af74ec94011c1, payload_attributes=Some(PayloadAttributes { timestamp: 1776697087, prev_randao: 0x1c8ab1ec4ffbdb3d6021d9d4eb4e521f9c8f71621a56b440723af74ec94011c1, suggested_fee_recipient: 0x0000000000000000000000000000000000000000, withdrawals: Some([]), parent_beacon_block_root: None })
Apr 20 14:58:07.019 INFO  [Storage] Updating forkchoice: head=0x1c8ab1ec4ffbdb3d6021d9d4eb4e521f9c8f71621a56b440723af74ec94011c1, safe=Some(0x0000000000000000000000000000000000000000000000000000000000000000), finalized=Some(0x0000000000000000000000000000000000000000000000000000000000000000)
Apr 20 14:58:07.019 INFO  [EngineService] Head block found in storage: #0 hash=0x1c8ab1ec4ffbdb3d6021d9d4eb4e521f9c8f71621a56b440723af74ec94011c1
Apr 20 14:58:07.020 INFO  [Executor] Executing 0 transactions for block 1
Apr 20 14:58:07.024 INFO  [EngineService] Created payload_id=PayloadId(0x34848692c3ab5779) for block_number=1
Apr 20 14:58:07.026 INFO  [RPC] engine_forkchoiceUpdatedV2 result status=Valid, payload_id=Some(PayloadId(0x34848692c3ab5779))
Apr 20 14:58:07.028 INFO  [RPC] engine_getPayloadV2: payload_id=PayloadId(0x34848692c3ab5779)
